,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,36,18,18,26,9,1,80,24,56,87
1,2,Man City,35,17,18,26,4,5,86,25,61,82
2,3,Spurs,36,18,18,23,3,10,69,41,28,72
5,4,Chelsea,35,17,18,21,6,8,64,37,27,69
4,5,Man Utd,35,18,17,19,9,7,70,45,25,66
3,6,Arsenal,35,17,18,19,8,8,70,49,21,65
6,7,Wolves,36,18,18,17,9,10,51,41,10,60
7,8,Watford,36,18,18,15,10,11,51,48,3,55
10,9,Everton,36,18,18,14,8,14,49,45,4,50
9,10,Leicester,35,18,17,14,6,15,44,46,-2,48
8,11,West Ham,36,18,18,13,8,15,44,56,-12,47
11,12,Bournemouth,36,18,18,13,6,17,54,62,-8,45
13,13,Crystal Palace,36,18,18,11,8,17,48,51,-3,41
12,14,Newcastle,35,17,18,10,8,17,39,50,-11,38
14,15,Brighton,35,18,17,10,8,17,35,49,-14,38
16,16,Burnley,35,18,17,10,6,19,43,68,-25,36
17,17,Cardiff,36,18,18,9,5,22,35,73,-38,32
15,18,Southampton,36,18,18,7,9,20,41,66,-25,30
18,19,Fulham,36,18,18,5,5,26,35,86,-51,20
19,20,Huddersfield,36,18,18,3,7,26,22,68,-46,16
