,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
1,1,Man City,34,16,18,27,2,5,86,24,62,83
0,2,Liverpool,34,17,17,24,9,1,76,20,56,81
3,3,Arsenal,35,17,18,21,6,8,72,48,24,69
2,4,Spurs,35,18,17,21,3,11,65,41,24,66
4,5,Man Utd,33,17,16,19,8,6,67,43,24,65
5,6,Chelsea,34,17,17,19,7,8,60,38,22,64
6,7,Wolves,34,17,17,13,10,11,44,41,3,49
10,8,Everton,34,17,17,13,7,14,46,45,1,46
7,9,Watford,35,18,17,13,7,15,49,56,-7,46
11,10,Bournemouth,35,17,18,13,6,16,49,62,-13,45
14,11,Brighton,34,17,17,12,7,15,43,50,-7,43
8,12,West Ham,34,17,17,12,6,16,41,54,-13,42
13,13,Crystal Palace,35,18,17,11,8,16,43,44,-1,41
9,14,Leicester,34,17,17,12,5,17,40,47,-7,41
12,15,Newcastle,34,17,17,10,9,15,35,45,-10,39
17,16,Cardiff,34,17,17,10,5,19,30,59,-29,35
15,17,Southampton,34,17,17,8,9,17,36,58,-22,33
16,18,Burnley,34,17,17,8,9,17,37,61,-24,33
19,19,Huddersfield,35,17,18,5,6,24,22,62,-40,21
18,20,Fulham,35,18,17,5,5,25,35,78,-43,20
