,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,34,17,17,24,9,1,76,20,56,81
1,2,Man City,33,16,17,26,2,5,82,23,59,80
3,3,Arsenal,34,17,17,21,6,7,72,44,28,69
2,4,Spurs,34,17,17,21,3,10,64,37,27,66
4,5,Man Utd,33,17,16,19,8,6,67,43,24,65
5,6,Chelsea,34,17,17,19,7,8,60,38,22,64
6,7,Wolves,34,17,17,13,10,11,44,41,3,49
10,8,Everton,34,17,17,13,7,14,46,45,1,46
7,9,Watford,34,17,17,13,7,14,47,53,-6,46
14,10,Brighton,34,17,17,12,7,15,43,50,-7,43
8,11,West Ham,34,17,17,12,6,16,41,54,-13,42
11,12,Bournemouth,34,17,17,12,6,16,45,61,-16,42
9,13,Leicester,34,17,17,12,5,17,40,47,-7,41
12,14,Newcastle,34,17,17,10,9,15,35,45,-10,39
13,15,Crystal Palace,34,17,17,10,8,16,39,44,-5,38
17,16,Cardiff,34,17,17,10,5,19,30,59,-29,35
15,17,Southampton,34,17,17,8,9,17,36,58,-22,33
16,18,Burnley,34,17,17,8,9,17,37,61,-24,33
18,19,Fulham,34,17,17,5,5,24,34,74,-40,20
19,20,Huddersfield,34,17,17,4,6,24,19,60,-41,18
