,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,34,17,17,26,7,1,78,19,59,85
1,2,Man City,33,16,17,26,3,4,89,25,64,81
2,3,Spurs,34,17,17,21,3,10,62,38,24,66
5,4,Chelsea,34,17,17,20,6,8,57,37,20,66
3,5,Arsenal,34,17,17,19,7,8,68,42,26,64
4,6,Man Utd,33,17,16,19,7,7,65,44,21,64
7,7,Watford,34,17,17,14,7,13,44,48,-4,49
6,8,Wolves,34,17,17,12,11,11,42,41,1,47
10,9,Everton,34,17,17,13,7,14,49,46,3,46
8,10,West Ham,34,17,17,13,6,15,46,53,-7,45
9,11,Leicester,34,17,17,12,7,15,43,47,-4,43
11,12,Bournemouth,34,17,17,12,6,16,49,63,-14,42
13,13,Crystal Palace,34,17,17,10,9,15,40,44,-4,39
12,14,Newcastle,34,17,17,9,10,15,33,46,-13,37
16,15,Burnley,34,17,17,10,7,17,40,61,-21,37
14,16,Brighton,34,17,17,9,9,16,35,48,-13,36
15,17,Southampton,34,17,17,8,11,15,36,53,-17,35
17,18,Cardiff,34,17,17,9,4,21,30,66,-36,31
18,19,Fulham,34,17,17,5,5,24,34,76,-42,20
19,20,Huddersfield,34,17,17,3,6,25,18,61,-43,15
