,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
1,1,Man City,38,19,19,30,4,4,95,26,69,94
0,2,Liverpool,38,19,19,29,7,2,86,22,64,94
3,3,Arsenal,38,19,19,23,7,8,74,46,28,77
4,4,Man Utd,38,19,19,19,12,7,68,49,19,71
5,5,Chelsea,38,19,19,20,9,9,62,43,19,70
6,6,Wolves,38,19,19,16,9,13,48,44,4,70
2,7,Spurs,37,19,18,22,2,13,62,40,22,68
7,8,Watford,37,19,18,15,10,12,52,51,1,56
9,9,Leicester,38,19,19,16,7,15,52,51,1,56
10,10,Everton,37,18,19,14,8,15,48,45,3,51
11,11,Bournemouth,38,19,19,14,6,18,55,64,-9,50
8,12,West Ham,37,18,19,13,9,15,47,51,-4,49
12,13,Newcastle,38,19,19,11,10,17,36,44,-8,46
14,14,Brighton,38,19,19,12,8,18,45,55,-10,44
13,15,Crystal Palace,38,19,19,12,6,20,40,52,-12,44
16,16,Burnley,38,19,19,10,7,21,43,71,-28,37
15,17,Southampton,38,19,19,8,10,20,37,67,-30,37
17,18,Cardiff,38,19,19,9,7,22,37,72,-35,34
18,19,Fulham,38,19,19,6,6,26,34,83,-49,24
19,20,Huddersfield,38,19,19,4,6,28,21,66,-45,18
