,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,32,16,16,24,7,1,72,19,53,79
1,2,Man City,31,15,16,25,2,4,80,21,59,77
3,3,Arsenal,32,15,17,19,6,7,67,43,24,64
5,4,Chelsea,32,16,16,18,7,7,51,33,18,62
2,5,Spurs,31,17,14,20,1,10,58,34,24,61
4,6,Man Utd,31,16,15,17,8,6,59,41,18,61
6,7,Wolves,32,16,16,13,9,10,43,37,6,61
7,8,Watford,32,17,15,12,8,12,43,46,-3,45
10,9,Everton,32,16,16,12,7,13,44,42,2,44
9,10,Leicester,32,16,16,12,6,14,41,44,-3,43
8,11,West Ham,32,15,17,12,6,14,41,47,-6,43
11,12,Bournemouth,32,16,16,11,6,15,44,57,-13,41
15,13,Southampton,32,17,15,9,9,14,37,50,-13,39
13,14,Crystal Palace,31,15,16,10,6,15,37,41,-4,38
12,15,Newcastle,32,16,16,9,8,15,31,44,-13,38
14,16,Brighton,32,16,16,9,6,17,32,48,-16,33
17,17,Cardiff,32,15,17,9,5,18,30,57,-27,32
16,18,Burnley,32,16,16,8,7,17,36,60,-24,31
18,19,Fulham,32,16,16,4,5,23,29,71,-42,17
19,20,Huddersfield,32,16,16,3,5,24,18,58,-40,14
