,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,36,18,18,26,9,1,78,23,55,87
1,2,Man City,37,18,19,26,4,7,87,28,59,82
4,3,Man Utd,37,19,18,22,8,7,74,48,26,74
2,4,Spurs,37,19,18,23,3,11,68,40,28,72
5,5,Chelsea,37,18,19,21,6,10,65,39,26,69
3,6,Arsenal,37,18,19,20,7,10,73,52,21,67
7,7,Watford,37,19,18,16,8,13,54,50,4,56
6,8,Wolves,36,18,18,15,9,12,47,42,5,54
9,9,Leicester,37,19,18,16,6,15,49,48,1,54
10,10,Everton,37,18,19,13,10,14,53,50,3,49
14,11,Brighton,37,19,18,14,6,17,48,51,-3,48
8,12,West Ham,36,18,18,14,6,16,45,54,-9,48
11,13,Bournemouth,37,18,19,13,5,19,52,66,-14,44
13,14,Crystal Palace,37,19,18,11,10,16,47,51,-4,43
15,15,Southampton,36,18,18,11,10,15,47,59,-12,43
12,16,Newcastle,36,18,18,9,11,16,37,53,-16,38
16,17,Burnley,37,19,18,8,9,20,38,75,-37,33
17,18,Cardiff,37,18,19,8,7,22,30,71,-41,31
19,19,Huddersfield,37,18,19,4,6,27,23,66,-43,18
18,20,Fulham,36,18,18,4,6,26,32,81,-49,18
