,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
1,1,Man City,38,19,19,31,3,4,100,28,72,96
0,2,Liverpool,38,19,19,27,8,3,82,24,58,89
2,3,Spurs,37,19,18,24,4,9,77,42,35,76
4,4,Man Utd,38,19,19,19,10,9,71,52,19,69
3,5,Arsenal,38,19,19,20,8,10,76,57,19,69
5,6,Chelsea,38,19,19,19,9,10,62,45,17,67
6,7,Wolves,38,19,19,15,9,14,51,47,4,67
7,8,Watford,37,19,18,15,8,14,56,58,-2,54
8,9,West Ham,37,18,19,14,9,14,48,56,-8,52
9,10,Leicester,38,19,19,14,6,18,48,53,-5,49
10,11,Everton,37,18,19,12,11,14,53,53,0,48
14,12,Brighton,38,19,19,13,9,16,43,50,-7,48
12,13,Newcastle,38,19,19,11,11,16,39,47,-8,47
13,14,Crystal Palace,38,19,19,11,10,17,52,57,-5,45
15,15,Southampton,37,19,18,10,10,17,47,65,-18,43
11,16,Bournemouth,38,19,19,11,7,20,50,70,-20,42
16,17,Burnley,38,19,19,11,7,20,45,72,-27,40
17,18,Cardiff,38,19,19,11,5,22,36,73,-37,38
18,19,Fulham,38,19,19,5,8,25,37,84,-47,23
19,20,Huddersfield,37,18,19,4,8,25,24,64,-40,20
