,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
1,1,Man City,32,15,17,26,2,4,87,22,65,80
0,2,Liverpool,33,17,16,23,7,3,71,22,49,76
3,3,Arsenal,33,16,17,20,7,6,69,43,26,67
5,4,Chelsea,33,16,17,20,6,7,57,33,24,66
2,5,Spurs,33,17,16,21,2,10,62,36,26,65
4,6,Man Utd,32,17,15,18,8,6,61,42,19,62
7,7,Watford,33,17,16,14,7,12,47,47,0,49
6,8,Wolves,33,16,17,13,9,11,43,41,2,48
8,9,West Ham,33,16,17,13,6,14,43,51,-8,45
9,10,Leicester,34,17,17,13,5,16,44,47,-3,44
11,11,Bournemouth,33,16,17,13,5,15,48,57,-9,44
10,12,Everton,33,16,17,11,8,14,46,46,0,41
13,13,Crystal Palace,33,17,16,11,7,15,43,43,0,40
14,14,Brighton,33,17,16,11,6,16,37,46,-9,39
12,15,Newcastle,34,17,17,10,8,16,33,45,-12,38
15,16,Southampton,33,17,16,9,9,15,39,53,-14,36
16,17,Burnley,33,17,16,8,6,19,36,64,-28,30
17,18,Cardiff,33,16,17,8,4,21,27,68,-41,28
18,19,Fulham,33,17,16,4,5,24,30,74,-44,17
19,20,Huddersfield,33,16,17,3,5,25,18,61,-43,14
