,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,36,18,18,27,8,1,76,20,56,89
1,2,Man City,36,18,18,28,3,5,95,25,70,87
2,3,Spurs,36,18,18,24,2,10,66,36,30,74
4,4,Man Utd,36,18,18,21,8,7,67,42,25,73
5,5,Chelsea,36,18,18,20,7,9,59,37,22,68
6,6,Wolves,36,18,18,15,10,11,44,40,4,68
3,7,Arsenal,35,17,18,19,8,8,67,44,23,66
7,8,Watford,36,18,18,16,7,13,51,47,4,56
12,9,Newcastle,36,18,18,12,9,15,38,46,-8,48
8,10,West Ham,36,18,18,13,7,16,46,52,-6,47
9,11,Leicester,35,18,17,13,6,16,42,50,-8,46
11,12,Bournemouth,36,18,18,12,7,17,52,66,-14,45
13,13,Crystal Palace,36,18,18,11,8,17,44,52,-8,43
10,14,Everton,36,18,18,11,8,17,47,55,-8,42
14,15,Brighton,36,18,18,11,7,18,43,52,-9,40
15,16,Southampton,36,18,18,8,10,18,41,61,-20,37
16,17,Burnley,36,18,18,10,6,20,39,69,-30,36
17,18,Cardiff,36,18,18,8,6,22,30,74,-44,30
18,19,Fulham,36,18,18,7,6,23,40,78,-38,27
19,20,Huddersfield,36,18,18,4,5,27,24,65,-41,17
