,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,36,18,18,27,8,1,76,20,56,89
1,2,Man City,36,18,18,28,3,5,95,25,70,87
2,3,Spurs,37,19,18,24,2,11,66,38,28,74
4,4,Man Utd,36,18,18,21,8,7,67,42,25,73
3,5,Arsenal,37,18,19,20,8,9,74,46,28,69
5,6,Chelsea,36,18,18,20,7,9,59,37,22,68
6,7,Wolves,36,18,18,15,10,11,44,40,4,68
7,8,Watford,36,18,18,16,7,13,51,47,4,56
9,9,Leicester,36,18,18,14,6,16,44,51,-7,49
12,10,Newcastle,36,18,18,12,9,15,38,46,-8,48
11,11,Bournemouth,37,18,19,13,7,17,54,66,-12,48
8,12,West Ham,36,18,18,13,7,16,46,52,-6,47
13,13,Crystal Palace,37,19,18,11,9,17,46,54,-8,44
10,14,Everton,36,18,18,11,8,17,47,55,-8,42
14,15,Brighton,37,19,18,11,7,19,43,58,-15,40
15,16,Southampton,36,18,18,8,10,18,41,61,-20,37
16,17,Burnley,36,18,18,10,6,20,39,69,-30,36
17,18,Cardiff,37,18,19,8,7,22,32,76,-44,31
18,19,Fulham,36,18,18,7,6,23,40,78,-38,27
19,20,Huddersfield,36,18,18,4,5,27,24,65,-41,17
