,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
1,1,Man City,34,16,18,27,2,5,85,25,60,83
0,2,Liverpool,34,17,17,24,7,3,75,22,53,79
2,3,Spurs,35,18,17,22,2,11,69,41,28,68
3,4,Arsenal,35,17,18,20,8,7,74,48,26,68
4,5,Man Utd,33,17,16,18,9,6,61,42,19,63
5,6,Chelsea,34,17,17,18,8,8,55,38,17,62
6,7,Wolves,34,17,17,13,10,11,42,40,2,49
7,8,Watford,34,17,17,13,9,12,51,51,0,48
9,9,Leicester,34,17,17,14,6,14,47,47,0,48
8,10,West Ham,34,17,17,12,9,13,43,48,-5,45
14,11,Brighton,34,17,17,12,8,14,42,47,-5,44
10,12,Everton,34,17,17,11,9,14,45,45,0,42
11,13,Bournemouth,35,17,18,11,8,16,48,62,-14,41
13,14,Crystal Palace,35,18,17,11,6,18,41,48,-7,39
12,15,Newcastle,34,17,17,9,9,16,33,46,-13,36
15,16,Southampton,34,17,17,8,10,16,38,60,-22,34
16,17,Burnley,34,17,17,8,8,18,39,64,-25,32
17,18,Cardiff,34,17,17,9,5,20,32,63,-31,32
18,19,Fulham,35,18,17,5,8,22,34,74,-40,23
19,20,Huddersfield,34,17,17,4,5,25,22,65,-43,17
