,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,36,18,18,27,7,2,81,22,59,88
1,2,Man City,36,18,18,27,2,7,91,29,62,83
3,3,Arsenal,37,18,19,22,8,7,78,48,30,74
4,4,Man Utd,37,19,18,21,10,6,70,47,23,73
2,5,Spurs,37,19,18,23,2,12,64,43,21,71
5,6,Chelsea,37,18,19,20,8,9,60,38,22,68
7,7,Watford,37,19,18,16,8,13,57,55,2,56
6,8,Wolves,36,18,18,14,9,13,45,44,1,51
11,9,Bournemouth,37,18,19,14,7,16,55,63,-8,49
10,10,Everton,37,18,19,13,9,15,56,49,7,48
9,11,Leicester,36,18,18,13,8,15,49,53,-4,47
13,12,Crystal Palace,37,19,18,13,7,17,50,50,0,46
14,13,Brighton,37,19,18,13,7,17,46,55,-9,46
8,14,West Ham,36,18,18,12,9,15,45,57,-12,45
12,15,Newcastle,36,18,18,10,9,17,37,49,-12,39
15,16,Southampton,36,18,18,9,10,17,42,61,-19,37
16,17,Burnley,37,19,18,9,8,20,38,71,-33,35
17,18,Cardiff,37,18,19,8,5,24,33,70,-37,29
18,19,Fulham,36,18,18,5,7,24,35,79,-44,22
19,20,Huddersfield,37,18,19,4,6,27,23,72,-49,18
