,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
1,1,Man City,31,15,16,25,2,4,80,21,59,77
0,2,Liverpool,31,16,15,23,7,1,70,18,52,76
2,3,Spurs,30,16,14,20,1,9,57,32,25,61
3,4,Arsenal,31,15,16,18,7,6,65,41,24,61
4,5,Man Utd,31,16,15,18,7,6,59,40,19,61
5,6,Chelsea,32,16,16,17,7,8,52,36,16,58
6,7,Wolves,32,16,16,12,10,10,41,39,2,46
8,8,West Ham,32,15,17,13,6,13,45,47,-2,45
9,9,Leicester,32,16,16,13,5,14,42,44,-2,44
7,10,Watford,32,17,15,12,7,13,42,46,-4,43
14,11,Brighton,32,16,16,12,6,14,38,44,-6,42
10,12,Everton,32,16,16,11,7,14,44,46,-2,40
11,13,Bournemouth,32,16,16,11,5,16,44,58,-14,38
13,14,Crystal Palace,31,15,16,10,6,15,39,43,-4,36
12,15,Newcastle,31,15,16,9,8,14,31,40,-9,35
15,16,Southampton,32,17,15,8,9,15,35,52,-17,33
16,17,Burnley,32,16,16,8,7,17,36,60,-24,31
17,18,Cardiff,32,15,17,8,5,19,29,60,-31,29
18,19,Fulham,32,16,16,4,5,23,29,71,-42,17
19,20,Huddersfield,32,16,16,3,5,24,20,60,-40,14
