,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
1,1,Man City,38,19,19,30,3,5,104,28,76,93
0,2,Liverpool,38,19,19,26,10,2,81,24,57,88
4,3,Man Utd,38,19,19,22,9,7,82,49,33,77
2,4,Spurs,38,19,19,25,2,11,73,41,32,77
3,5,Arsenal,38,19,19,19,12,7,70,47,23,70
5,6,Chelsea,38,19,19,20,8,10,57,39,18,69
6,7,Wolves,38,19,19,13,11,14,46,48,-2,63
8,8,West Ham,38,19,19,16,8,14,51,51,0,57
11,9,Bournemouth,38,19,19,15,6,17,54,65,-11,53
12,10,Newcastle,38,19,19,12,12,14,41,47,-6,51
10,11,Everton,38,19,19,13,9,16,50,48,2,49
7,12,Watford,38,19,19,13,8,17,48,60,-12,48
14,13,Brighton,38,19,19,13,7,18,42,55,-13,46
9,14,Leicester,38,19,19,13,6,19,46,59,-13,46
13,15,Crystal Palace,38,19,19,11,9,18,44,52,-8,44
15,16,Southampton,38,19,19,10,10,18,41,63,-22,43
16,17,Burnley,38,19,19,9,7,22,42,71,-29,34
17,18,Cardiff,38,19,19,9,6,23,33,79,-46,33
18,19,Fulham,38,19,19,7,7,24,40,79,-39,28
19,20,Huddersfield,38,19,19,6,6,26,26,66,-40,24
