,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,31,16,15,23,7,1,70,18,52,76
1,2,Man City,31,15,16,24,3,4,80,22,58,75
2,3,Spurs,30,16,14,20,1,9,57,32,25,61
3,4,Arsenal,31,15,16,18,7,6,66,42,24,61
4,5,Man Utd,31,16,15,18,7,6,60,41,19,61
5,6,Chelsea,31,15,16,18,6,7,51,33,18,60
6,7,Wolves,32,16,16,13,9,10,45,40,5,48
9,8,Leicester,32,16,16,13,5,14,43,43,0,44
7,9,Watford,32,17,15,12,8,12,45,48,-3,44
8,10,West Ham,32,15,17,12,7,13,41,46,-5,43
10,11,Everton,32,16,16,11,8,13,43,42,1,41
14,12,Brighton,32,16,16,11,6,15,38,44,-6,39
11,13,Bournemouth,32,16,16,11,5,16,43,59,-16,38
12,14,Newcastle,31,15,16,9,8,14,31,40,-9,35
13,15,Crystal Palace,31,15,16,9,7,15,39,44,-5,34
15,16,Southampton,32,17,15,7,10,15,36,55,-19,31
16,17,Burnley,32,16,16,8,6,18,36,63,-27,30
17,18,Cardiff,31,15,16,8,4,19,28,60,-32,28
18,19,Fulham,32,16,16,4,6,22,30,71,-41,18
19,20,Huddersfield,32,16,16,3,6,23,21,60,-39,15
