,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,36,18,18,26,9,1,81,24,57,87
1,2,Man City,35,17,18,27,2,6,90,27,63,83
4,3,Man Utd,35,18,17,22,7,6,68,42,26,73
3,4,Arsenal,35,17,18,21,6,8,80,49,31,69
2,5,Spurs,35,18,17,22,1,12,65,42,23,67
5,6,Chelsea,35,17,18,19,7,9,59,42,17,64
6,7,Wolves,35,17,18,16,8,11,49,40,9,56
9,8,Leicester,35,18,17,15,5,15,47,46,1,50
8,9,West Ham,35,17,18,14,7,14,48,49,-1,49
7,10,Watford,35,18,17,14,7,14,46,52,-6,49
10,11,Everton,35,17,18,12,7,16,47,49,-2,43
13,12,Crystal Palace,35,18,17,12,6,17,43,49,-6,42
11,13,Bournemouth,35,17,18,12,6,17,48,59,-11,42
14,14,Brighton,35,18,17,11,6,18,40,58,-18,39
12,15,Newcastle,35,17,18,9,9,17,33,50,-17,36
16,16,Burnley,35,18,17,9,7,19,40,65,-25,34
17,17,Cardiff,35,17,18,10,4,21,38,70,-32,34
15,18,Southampton,35,18,17,7,11,17,39,60,-21,32
19,19,Huddersfield,36,18,18,5,6,25,21,63,-42,21
18,20,Fulham,35,18,17,5,5,25,32,78,-46,20
