,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,36,18,18,28,7,1,83,20,63,91
1,2,Man City,36,18,18,27,4,5,92,27,65,85
2,3,Spurs,37,19,18,22,5,10,66,38,28,71
5,4,Chelsea,36,18,18,20,7,9,57,45,12,67
3,5,Arsenal,37,18,19,19,9,9,69,47,22,66
4,6,Man Utd,36,18,18,18,8,10,66,51,15,62
6,7,Wolves,36,18,18,15,10,11,44,39,5,55
7,8,Watford,36,18,18,15,8,13,49,51,-2,53
9,9,Leicester,36,18,18,15,6,15,45,46,-1,51
10,10,Everton,36,18,18,14,8,14,50,47,3,50
8,11,West Ham,36,18,18,14,6,16,47,52,-5,48
12,12,Newcastle,36,18,18,12,9,15,40,44,-4,45
11,13,Bournemouth,37,18,19,12,8,17,50,64,-14,44
13,14,Crystal Palace,37,19,18,11,10,16,44,45,-1,43
14,15,Brighton,37,19,18,10,9,18,39,55,-16,39
16,16,Burnley,36,18,18,10,7,19,41,64,-23,37
15,17,Southampton,36,18,18,8,9,19,39,62,-23,33
17,18,Cardiff,37,18,19,9,6,22,35,75,-40,33
18,19,Fulham,36,18,18,5,7,24,36,78,-42,22
19,20,Huddersfield,36,18,18,4,7,25,21,63,-42,19
