,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,37,19,18,25,10,2,80,24,56,85
1,2,Man City,37,18,19,26,4,7,87,31,56,82
2,3,Spurs,37,19,18,25,1,11,71,40,31,76
3,4,Arsenal,37,18,19,22,6,9,72,46,26,72
4,5,Man Utd,37,19,18,19,9,9,69,52,17,66
5,6,Chelsea,37,18,19,19,9,9,59,42,17,66
7,7,Watford,37,19,18,17,7,13,51,48,3,58
6,8,Wolves,36,18,18,14,8,14,43,42,1,50
9,9,Leicester,37,19,18,15,5,17,46,53,-7,50
12,10,Newcastle,37,18,19,13,9,15,43,46,-3,48
10,11,Everton,37,18,19,13,8,16,48,51,-3,47
8,12,West Ham,37,18,19,13,7,17,47,55,-8,46
11,13,Bournemouth,37,18,19,13,6,18,52,63,-11,45
16,14,Burnley,37,19,18,12,6,19,44,67,-23,42
13,15,Crystal Palace,37,19,18,11,8,18,42,51,-9,41
14,16,Brighton,37,19,18,10,10,17,40,53,-13,40
15,17,Southampton,37,19,18,9,13,15,39,54,-15,40
17,18,Cardiff,37,18,19,10,6,21,34,63,-29,36
18,19,Fulham,36,18,18,8,5,23,37,73,-36,29
19,20,Huddersfield,37,18,19,4,5,28,22,72,-50,17
