,Round Number,Date,Location,Home Team,Away Team,Result
267,27,24/02/2019 12:00,Stamford Bridge,Chelsea,Brighton,2 - 1
301,31,16/03/2019 15:00,Amex Stadium,Brighton,Cardiff,2 - 0
303,31,16/03/2019 15:00,Vicarage Road,Watford,Southampton,2 - 2
305,31,16/03/2019 15:00,Molineux Stadium,Wolves,Arsenal,1 - 3
308,32,30/03/2019 12:30,Craven Cottage,Fulham,Man City,1 - 1
309,32,30/03/2019 15:00,Amex Stadium,Brighton,Southampton,1 - 2
310,32,30/03/2019 15:00,Turf Moor,Burnley,Wolves,1 - 1
311,32,30/03/2019 15:00,Selhurst Park,Crystal Palace,Huddersfield,0 - 0
312,32,30/03/2019 15:00,King Power Stadium,Leicester,Bournemouth,4 - 0
313,32,30/03/2019 15:00,Old Trafford,Man Utd,Watford,0 - 1
314,32,30/03/2019 17:30,London Stadium,West Ham,Everton,1 - 2
315,32,31/03/2019 14:05,Cardiff City Stadium,Cardiff,Chelsea,3 - 1
316,32,31/03/2019 16:30,Anfield,Liverpool,Spurs,4 - 0
317,32,01/04/2019 20:00,Emirates Stadium,Arsenal,Newcastle,2 - 2
318,32,02/04/2019 19:45,Molineux Stadium,Wolves,Man Utd,1 - 1
319,32,02/04/2019 23:00,Tottenham Hotspur Stadium,Spurs,Crystal Palace,2 - 2
320,33,05/04/2019 20:00,St. Mary's Stadium,Southampton,Liverpool,0 - 1
321,33,06/04/2019 12:30,Etihad Stadium,Man City,Cardiff,2 - 1
322,33,06/04/2019 15:00,Vitality Stadium,Bournemouth,Burnley,1 - 2
323,33,06/04/2019 15:00,John Smith's Stadium,Huddersfield,Leicester,2 - 0
324,33,06/04/2019 15:00,St. James' Park,Newcastle,Crystal Palace,1 - 1
325,33,06/04/2019 15:00,Vicarage Road,Watford,Fulham,0 - 4
326,33,07/04/2019 14:05,Goodison Park,Everton,Arsenal,1 - 3
327,33,07/04/2019 16:30,Tottenham Hotspur Stadium,Spurs,Brighton,4 - 0
328,33,08/04/2019 20:00,Stamford Bridge,Chelsea,West Ham,1 - 0
329,34,12/04/2019 20:00,King Power Stadium,Leicester,Newcastle,0 - 2
330,34,13/04/2019 12:30,Tottenham Hotspur Stadium,Spurs,Huddersfield,0 - 0
331,34,13/04/2019 15:00,Amex Stadium,Brighton,Bournemouth,2 - 0
332,34,13/04/2019 15:00,Turf Moor,Burnley,Cardiff,0 - 0
333,34,13/04/2019 15:00,Craven Cottage,Fulham,Everton,2 - 1
334,34,13/04/2019 15:00,St. Mary's Stadium,Southampton,Wolves,2 - 2
335,34,13/04/2019 17:30,Old Trafford,Man Utd,West Ham,3 - 0
336,34,14/04/2019 14:05,Selhurst Park,Crystal Palace,Man City,0 - 1
337,34,14/04/2019 16:30,Anfield,Liverpool,Chelsea,6 - 2
338,34,15/04/2019 20:00,Vicarage Road,Watford,Arsenal,0 - 2
339,35,20/04/2019 12:30,Etihad Stadium,Man City,Spurs,3 - 2
340,35,20/04/2019 15:00,Emirates Stadium,Arsenal,Crystal Palace,1 - 1
341,35,20/04/2019 15:00,Vitality Stadium,Bournemouth,Fulham,2 - 0
342,35,20/04/2019 15:00,John Smith's Stadium,Huddersfield,Watford,1 - 2
343,35,20/04/2019 15:00,London Stadium,West Ham,Leicester,0 - 0
344,35,20/04/2019 15:00,Molineux Stadium,Wolves,Brighton,0 - 1
345,35,20/04/2019 17:30,St. James' Park,Newcastle,Southampton,2 - 0
346,35,21/04/2019 13:30,Goodison Park,Everton,Man Utd,2 - 5
347,35,21/04/2019 16:00,Cardiff City Stadium,Cardiff,Liverpool,0 - 3
348,35,22/04/2019 20:00,Stamford Bridge,Chelsea,Burnley,0 - 0
349,35,24/04/2019 20:00,Old Trafford,Man Utd,Man City,0 - 3
350,36,26/04/2019 20:00,Anfield,Liverpool,Huddersfield,0 - 2
351,36,27/04/2019 12:30,Tottenham Hotspur Stadium,Spurs,West Ham,3 - 0
352,36,27/04/2019 15:00,Selhurst Park,Crystal Palace,Everton,0 - 1
353,36,27/04/2019 15:00,Craven Cottage,Fulham,Cardiff,3 - 1
354,36,27/04/2019 15:00,St. Mary's Stadium,Southampton,Bournemouth,0 - 0
355,36,27/04/2019 15:00,Vicarage Road,Watford,Wolves,2 - 1
356,36,27/04/2019 17:30,Amex Stadium,Brighton,Newcastle,0 - 3
357,36,28/04/2019 14:05,Turf Moor,Burnley,Man City,0 - 4
358,36,28/04/2019 16:30,Old Trafford,Man Utd,Chelsea,4 - 5
359,36,29/04/2019 20:00,King Power Stadium,Leicester,Arsenal,2 - 1
360,37,04/05/2019 15:00,Emirates Stadium,Arsenal,Brighton,1 - 1
361,37,04/05/2019 15:00,Vitality Stadium,Bournemouth,Spurs,2 - 2
362,37,04/05/2019 15:00,Cardiff City Stadium,Cardiff,Crystal Palace,0 - 2
363,37,04/05/2019 15:00,Stamford Bridge,Chelsea,Watford,1 - 0
364,37,04/05/2019 15:00,Goodison Park,Everton,Burnley,2 - 0
365,37,04/05/2019 15:00,John Smith's Stadium,Huddersfield,Man Utd,1 - 3
366,37,04/05/2019 15:00,Etihad Stadium,Man City,Leicester,2 - 1
367,37,04/05/2019 15:00,St. James' Park,Newcastle,Liverpool,1 - 0
368,37,04/05/2019 15:00,London Stadium,West Ham,Southampton,2 - 4
369,37,04/05/2019 15:00,Molineux Stadium,Wolves,Fulham,1 - 3
370,38,12/05/2019 15:00,Amex Stadium,Brighton,Man City,0 - 1
371,38,12/05/2019 15:00,Turf Moor,Burnley,Arsenal,3 - 2
372,38,12/05/2019 15:00,Selhurst Park,Crystal Palace,Bournemouth,1 - 1
373,38,12/05/2019 15:00,Craven Cottage,Fulham,Newcastle,2 - 0
374,38,12/05/2019 15:00,King Power Stadium,Leicester,Chelsea,2 - 1
375,38,12/05/2019 15:00,Anfield,Liverpool,Wolves,2 - 2
376,38,12/05/2019 15:00,Old Trafford,Man Utd,Cardiff,2 - 1
