,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,36,18,18,27,7,2,79,20,59,88
1,2,Man City,36,18,18,26,2,8,84,28,56,80
3,3,Arsenal,35,17,18,20,8,7,71,47,24,68
4,4,Man Utd,35,18,17,20,7,8,68,48,20,67
2,5,Spurs,36,18,18,21,3,12,61,40,21,66
5,6,Chelsea,35,17,18,20,6,9,57,37,20,66
7,7,Watford,36,18,18,15,10,11,53,49,4,55
6,8,Wolves,36,18,18,13,10,13,45,45,0,49
9,9,Leicester,35,18,17,14,6,15,48,48,0,48
14,10,Brighton,36,18,18,13,9,14,43,47,-4,48
10,11,Everton,36,18,18,13,7,16,49,49,0,46
13,12,Crystal Palace,36,18,18,13,7,16,44,45,-1,46
8,13,West Ham,36,18,18,13,7,16,44,52,-8,46
11,14,Bournemouth,36,18,18,12,6,18,49,67,-18,42
12,15,Newcastle,36,18,18,10,10,16,37,47,-10,40
16,16,Burnley,36,18,18,11,7,18,42,66,-24,40
15,17,Southampton,36,18,18,9,10,17,43,60,-17,37
17,18,Cardiff,36,18,18,9,5,22,32,69,-37,32
18,19,Fulham,36,18,18,6,5,25,37,78,-41,23
19,20,Huddersfield,36,18,18,4,6,26,21,65,-44,18
