,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,38,19,19,27,8,3,84,23,61,89
1,2,Man City,38,19,19,27,3,8,89,33,56,84
2,3,Spurs,38,19,19,25,3,10,72,41,31,78
4,4,Man Utd,38,19,19,21,9,8,69,51,18,72
3,5,Arsenal,38,19,19,21,8,9,71,47,24,71
5,6,Chelsea,38,19,19,20,8,10,61,51,10,68
6,7,Wolves,38,19,19,15,11,12,47,45,2,56
9,8,Leicester,38,19,19,15,7,16,53,52,1,52
8,9,West Ham,37,18,19,15,7,15,47,52,-5,52
10,10,Everton,38,19,19,14,9,15,56,52,4,51
7,11,Watford,37,19,18,13,10,14,47,50,-3,49
11,12,Bournemouth,38,19,19,13,8,17,57,69,-12,47
12,13,Newcastle,38,19,19,12,10,16,43,46,-3,46
13,14,Crystal Palace,38,19,19,12,9,17,46,53,-7,45
15,15,Southampton,38,19,19,10,11,17,49,63,-14,41
14,16,Brighton,38,19,19,11,8,19,46,60,-14,41
16,17,Burnley,38,19,19,11,8,19,44,66,-22,41
17,18,Cardiff,38,19,19,9,6,23,34,69,-35,33
19,19,Huddersfield,38,19,19,5,6,27,24,67,-43,21
18,20,Fulham,38,19,19,4,9,25,33,82,-49,21
