,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,33,17,16,24,8,1,74,20,54,80
1,2,Man City,32,15,17,25,2,5,80,22,58,77
2,3,Spurs,34,17,17,23,1,10,67,37,30,70
3,4,Arsenal,33,16,17,19,8,6,70,42,28,65
5,5,Chelsea,33,16,17,19,6,8,55,34,21,63
4,6,Man Utd,32,17,15,18,8,6,60,41,19,62
6,7,Wolves,34,17,17,14,9,11,42,37,5,51
10,8,Everton,34,17,17,12,9,13,47,45,2,45
7,9,Watford,33,17,16,12,9,12,45,49,-4,45
9,10,Leicester,34,17,17,12,7,15,43,48,-5,43
8,11,West Ham,33,16,17,12,6,15,41,50,-9,42
11,12,Bournemouth,34,17,17,11,7,16,46,62,-16,40
14,13,Brighton,34,17,17,10,8,16,36,51,-15,38
12,14,Newcastle,34,17,17,9,10,15,35,48,-13,37
17,15,Cardiff,34,17,17,11,4,19,33,60,-27,37
13,16,Crystal Palace,33,17,16,9,8,16,38,44,-6,35
15,17,Southampton,34,17,17,7,12,15,37,54,-17,33
16,18,Burnley,34,17,17,9,6,19,40,66,-26,33
18,19,Fulham,34,17,17,5,6,23,32,72,-40,21
19,20,Huddersfield,34,17,17,4,6,24,20,59,-39,18
