,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
1,1,Man City,38,19,19,30,3,5,101,27,74,93
0,2,Liverpool,38,19,19,28,8,2,85,21,64,92
2,3,Spurs,37,19,18,23,4,10,67,38,29,73
3,4,Arsenal,38,19,19,22,7,9,70,48,22,73
5,5,Chelsea,38,19,19,20,8,10,60,42,18,68
4,6,Man Utd,38,19,19,19,9,10,66,51,15,66
9,7,Leicester,38,19,19,18,6,14,54,47,7,60
7,8,Watford,37,19,18,16,9,12,50,48,2,57
6,9,Wolves,38,19,19,16,8,14,48,48,0,56
8,10,West Ham,37,18,19,15,8,14,49,51,-2,53
10,11,Everton,37,18,19,14,7,16,49,49,0,49
14,12,Brighton,38,19,19,12,8,18,42,54,-12,44
11,13,Bournemouth,38,19,19,12,7,19,49,69,-20,43
16,14,Burnley,38,19,19,11,8,19,44,68,-24,41
13,15,Crystal Palace,38,19,19,11,6,21,45,54,-9,39
12,16,Newcastle,38,19,19,10,8,20,36,53,-17,38
15,17,Southampton,37,19,18,9,10,18,40,63,-23,37
17,18,Cardiff,38,19,19,9,8,21,35,72,-37,35
18,19,Fulham,38,19,19,6,6,26,36,77,-41,24
19,20,Huddersfield,37,18,19,4,6,27,20,66,-46,18
