,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
1,1,Man City,32,15,17,26,2,4,83,21,62,80
0,2,Liverpool,33,17,16,23,9,1,74,22,52,78
3,3,Arsenal,33,16,17,20,6,7,69,42,27,66
2,4,Spurs,33,17,16,20,4,9,59,34,25,64
5,5,Chelsea,33,16,17,19,7,7,58,36,22,64
4,6,Man Utd,32,17,15,18,8,6,66,47,19,62
7,7,Watford,33,17,16,13,8,12,49,50,-1,47
10,8,Everton,33,16,17,13,7,13,47,43,4,46
6,9,Wolves,33,16,17,12,9,12,43,45,-2,45
9,10,Leicester,33,17,16,13,6,14,44,46,-2,45
8,11,West Ham,33,16,17,12,6,15,42,53,-11,42
14,12,Brighton,33,17,16,10,9,14,36,44,-8,39
11,13,Bournemouth,33,16,17,11,6,16,48,62,-14,39
12,14,Newcastle,33,16,17,10,8,15,35,43,-8,38
13,15,Crystal Palace,33,17,16,9,8,16,37,45,-8,35
16,16,Burnley,33,17,16,9,7,17,39,61,-22,34
15,17,Southampton,33,17,16,7,12,14,38,54,-16,33
17,18,Cardiff,33,16,17,8,4,21,29,64,-35,28
18,19,Fulham,33,17,16,4,5,24,30,75,-45,17
19,20,Huddersfield,33,16,17,3,7,23,19,58,-39,16
