,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,38,19,19,29,8,1,86,20,66,95
1,2,Man City,38,19,19,26,4,8,87,32,55,82
2,3,Spurs,37,19,18,26,1,10,77,40,37,79
4,4,Man Utd,38,19,19,23,8,7,76,47,29,79
3,5,Arsenal,38,19,19,23,6,9,77,49,28,76
5,6,Chelsea,38,19,19,21,7,10,58,38,20,71
6,7,Wolves,38,19,19,15,10,13,47,47,0,68
9,8,Leicester,38,19,19,16,6,16,51,50,1,55
10,9,Everton,37,18,19,14,9,14,49,46,3,52
7,10,Watford,37,19,18,14,9,14,54,60,-6,52
11,11,Bournemouth,38,19,19,14,5,19,54,68,-14,49
12,12,Newcastle,38,19,19,11,11,16,37,47,-10,47
8,13,West Ham,37,18,19,13,7,17,51,62,-11,47
15,14,Southampton,37,19,18,10,12,15,47,59,-12,45
14,15,Brighton,38,19,19,12,9,17,45,58,-13,45
13,16,Crystal Palace,38,19,19,11,8,19,44,53,-9,43
16,17,Burnley,38,19,19,9,8,21,39,69,-30,35
17,18,Cardiff,38,19,19,9,5,24,36,74,-38,32
18,19,Fulham,38,19,19,5,7,26,38,84,-46,22
19,20,Huddersfield,37,18,19,3,6,28,21,71,-50,15
