,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,33,17,16,25,7,1,75,18,57,82
1,2,Man City,32,15,17,24,4,4,80,22,58,76
2,3,Spurs,34,17,17,22,2,10,62,39,23,68
5,4,Chelsea,33,16,17,19,7,7,59,37,22,64
4,5,Man Utd,33,17,16,19,7,7,65,45,20,64
3,6,Arsenal,33,16,17,19,6,8,66,42,24,63
6,7,Wolves,34,17,17,15,8,11,46,40,6,53
10,8,Everton,34,17,17,13,8,13,46,43,3,47
7,9,Watford,33,17,16,12,9,12,46,49,-3,45
9,10,Leicester,34,17,17,13,6,15,45,48,-3,45
11,11,Bournemouth,34,17,17,13,6,15,53,61,-8,45
8,12,West Ham,34,17,17,12,6,16,42,53,-11,42
13,13,Crystal Palace,33,17,16,10,7,16,39,44,-5,37
14,14,Brighton,34,17,17,10,7,17,39,52,-13,37
12,15,Newcastle,34,17,17,9,9,16,32,47,-15,36
16,16,Burnley,34,17,17,10,6,18,43,67,-24,36
17,17,Cardiff,34,17,17,9,6,19,33,65,-32,33
15,18,Southampton,34,17,17,7,10,17,36,56,-20,31
18,19,Fulham,34,17,17,4,8,22,31,72,-41,20
19,20,Huddersfield,34,17,17,4,5,25,21,59,-38,17
