,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
1,1,Man City,32,15,17,26,2,4,87,24,63,80
0,2,Liverpool,33,17,16,23,9,1,73,21,52,78
2,3,Spurs,34,17,17,22,2,10,63,36,27,68
4,4,Man Utd,32,17,15,19,7,6,64,41,23,64
3,5,Arsenal,33,16,17,18,8,7,66,43,23,62
5,6,Chelsea,33,16,17,18,6,9,53,39,14,60
6,7,Wolves,33,16,17,12,10,11,41,40,1,46
9,8,Leicester,34,17,17,13,7,14,44,45,-1,46
14,9,Brighton,34,17,17,13,6,15,41,45,-4,45
7,10,Watford,33,17,16,12,9,12,43,49,-6,45
10,11,Everton,33,16,17,12,8,13,47,45,2,44
8,12,West Ham,33,16,17,12,7,14,42,50,-8,43
11,13,Bournemouth,34,17,17,12,5,17,45,60,-15,41
13,14,Crystal Palace,33,17,16,11,6,16,40,44,-4,39
12,15,Newcastle,34,17,17,9,10,15,31,41,-10,37
16,16,Burnley,34,17,17,9,7,18,37,61,-24,34
15,17,Southampton,33,17,16,7,11,15,37,54,-17,32
17,18,Cardiff,34,17,17,9,4,21,31,66,-35,31
19,19,Huddersfield,34,17,17,4,6,24,21,60,-39,18
18,20,Fulham,33,17,16,4,6,23,30,72,-42,18
