,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,37,19,18,26,9,2,79,25,54,87
1,2,Man City,38,19,19,27,4,7,88,28,60,85
4,3,Man Utd,37,19,18,22,8,7,74,48,26,74
2,4,Spurs,37,19,18,23,3,11,68,40,28,72
5,5,Chelsea,37,18,19,21,6,10,65,39,26,69
3,6,Arsenal,38,19,19,20,7,11,73,55,18,67
7,7,Watford,37,19,18,16,8,13,54,50,4,56
6,8,Wolves,37,18,19,15,9,13,47,45,2,54
9,9,Leicester,37,19,18,16,6,15,49,48,1,54
10,10,Everton,37,18,19,13,10,14,53,50,3,49
8,11,West Ham,37,18,19,14,7,16,47,56,-9,49
14,12,Brighton,38,19,19,14,6,18,48,52,-4,48
13,13,Crystal Palace,38,19,19,12,10,16,48,51,-3,46
15,14,Southampton,37,19,18,11,11,15,49,61,-12,44
11,15,Bournemouth,38,19,19,13,5,20,52,67,-15,44
12,16,Newcastle,37,18,19,10,11,16,39,54,-15,41
16,17,Burnley,38,19,19,9,9,20,41,75,-34,36
17,18,Cardiff,37,18,19,8,7,22,30,71,-41,31
18,19,Fulham,37,19,18,5,6,26,35,81,-46,21
19,20,Huddersfield,37,18,19,4,6,27,23,66,-43,18
