,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
1,1,Man City,36,18,18,28,4,4,92,24,68,88
0,2,Liverpool,36,18,18,26,7,3,81,25,56,85
3,3,Arsenal,37,18,19,20,8,9,70,48,22,69
5,4,Chelsea,36,18,18,20,7,9,60,40,20,68
4,5,Man Utd,36,18,18,19,9,8,67,49,18,68
2,6,Spurs,36,18,18,21,2,13,63,43,20,65
6,7,Wolves,36,18,18,14,9,13,47,43,4,64
7,8,Watford,36,18,18,15,8,13,50,54,-4,54
11,9,Bournemouth,36,18,18,14,6,16,47,58,-11,50
8,10,West Ham,36,18,18,13,8,15,46,56,-10,48
10,11,Everton,36,18,18,13,7,16,51,50,1,47
9,12,Leicester,36,18,18,13,7,16,46,50,-4,47
15,13,Southampton,36,18,18,11,10,15,47,57,-10,46
14,14,Brighton,37,19,18,12,9,16,38,53,-15,45
13,15,Crystal Palace,36,18,18,11,6,19,44,51,-7,41
12,16,Newcastle,36,18,18,9,11,16,38,50,-12,41
16,17,Burnley,36,18,18,9,8,19,41,65,-24,35
17,18,Cardiff,36,18,18,9,5,22,36,69,-33,32
19,19,Huddersfield,36,18,18,7,5,24,27,65,-38,26
18,20,Fulham,36,18,18,6,6,24,34,75,-41,24
