,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
1,1,Man City,35,17,18,28,3,4,90,22,68,87
0,2,Liverpool,36,18,18,26,7,3,81,25,56,85
3,3,Arsenal,35,17,18,20,7,8,70,47,23,68
5,4,Chelsea,35,17,18,20,6,9,59,39,20,67
4,5,Man Utd,35,18,17,19,8,8,66,48,18,67
2,6,Spurs,36,18,18,21,2,13,63,43,20,65
6,7,Wolves,36,18,18,14,9,13,47,43,4,64
7,8,Watford,36,18,18,15,8,13,50,54,-4,54
11,9,Bournemouth,36,18,18,14,6,16,47,58,-11,50
8,10,West Ham,36,18,18,13,8,15,46,56,-10,48
10,11,Everton,36,18,18,13,7,16,51,50,1,47
15,12,Southampton,36,18,18,11,10,15,47,57,-10,46
9,13,Leicester,35,18,17,12,7,16,45,50,-5,44
13,14,Crystal Palace,36,18,18,11,6,19,44,51,-7,41
12,15,Newcastle,35,17,18,9,11,15,38,49,-11,41
14,16,Brighton,35,18,17,11,8,16,37,53,-16,41
16,17,Burnley,35,18,17,9,7,19,39,63,-24,34
17,18,Cardiff,36,18,18,9,5,22,36,69,-33,32
19,19,Huddersfield,36,18,18,7,5,24,27,65,-38,26
18,20,Fulham,36,18,18,6,6,24,34,75,-41,24
